School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
Abington High,Public School,452,24.0,44.0,9.7,130.0,28.8,97.0,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,15.8,94.7,0.0,0.9,3.5,124.0,94.0,75.8,1.1,22.3,30.9,45.7,30.9,19.1,9.6,70,123,31.0,27.0,11.0,0.0,1.0,8.0,46.0,40.0,20.0,9.0,43.9,56.1,98.0,520.0,498.0,516.0
Agawam High,Public School,1222,56.0,172.0,14.1,391.0,32.0,277.0,22.7,1.2,2.2,5.8,88.8,0.0,0.1,1.9,52.0,48.0,16.8,94.2,0.0,0.3,3.7,288.0,235.0,81.6,0.0,34.5,34.0,31.5,33.2,15.7,8.5,242,452,124.0,59.0,34.0,22.0,3.0,28.0,124.0,155.0,105.0,40.0,33.6,66.4,234.0,496.0,475.0,514.0
Amesbury High,Public School,594,17.0,101.0,17.0,154.0,25.9,87.0,14.6,1.3,1.2,4.2,90.7,0.0,0.0,2.5,53.5,46.5,16.7,93.9,0.0,0.6,1.2,124.0,90.0,72.6,0.0,24.4,35.6,40.0,35.6,6.7,15.6,104,137,72.0,31.0,1.0,0.0,0.0,4.0,22.0,37.0,43.0,31.0,19.0,81.0,115.0,531.0,518.0,534.0
Andover High,Public School,1806,172.0,290.0,16.1,377.0,20.9,113.0,6.3,1.9,14.5,5.0,76.3,0.1,0.0,2.2,48.9,51.1,14.7,95.7,0.0,0.5,0.5,413.0,369.0,89.3,0.0,56.4,7.6,36.0,7.3,3.5,13.8,458,843,194.0,177.0,63.0,16.0,8.0,51.0,134.0,204.0,233.0,221.0,21.9,78.1,393.0,566.0,562.0,581.0
Arlington High,Public School,1290,160.0,143.0,11.1,267.0,20.7,133.0,10.3,4.1,10.7,5.7,75.6,0.0,0.2,3.7,49.1,50.9,14.3,98.1,0.3,0.0,1.3,306.0,260.0,85.0,0.0,53.5,9.6,36.9,8.5,4.6,19.6,371,763,135.0,120.0,86.0,23.0,7.0,30.0,76.0,196.0,241.0,220.0,13.9,86.1,271.0,581.0,576.0,592.0
Ashland High,Public School,744,84.0,98.0,13.2,170.0,22.8,77.0,10.3,2.0,9.0,9.4,77.2,0.3,0.0,2.2,48.8,51.2,14.6,95.1,1.6,1.6,1.1,162.0,142.0,87.7,0.0,34.5,9.9,55.6,9.9,17.6,17.6,162,312,80.0,36.0,31.0,10.0,5.0,3.0,14.0,62.0,106.0,127.0,5.4,94.6,160.0,549.0,530.0,576.0
Attleboro High,Public School,1671,170.0,238.0,14.2,593.0,35.5,428.0,25.6,5.5,4.1,12.5,73.6,0.3,0.2,3.8,54.2,45.8,18.1,91.0,1.0,0.5,4.1,358.0,266.0,74.3,0.0,35.3,31.6,33.1,29.3,14.7,11.3,309,520,164.0,89.0,48.0,6.0,2.0,70.0,128.0,146.0,117.0,59.0,38.1,61.9,299.0,494.0,490.0,504.0
Auburn Senior High,Public School,795,45.0,76.0,9.6,189.0,23.8,121.0,15.2,2.1,4.3,6.4,84.0,0.4,0.0,2.8,48.1,51.9,17.3,96.9,0.6,0.6,0.6,158.0,125.0,79.1,0.0,33.6,18.4,48.0,17.6,24.8,14.4,250,380,148.0,74.0,28.0,0.0,0.0,79.0,123.0,106.0,47.0,25.0,53.2,46.8,134.0,488.0,477.0,505.0
Avon Middle High School,Public School,319,23.0,52.0,16.3,111.0,34.8,76.0,23.8,37.3,5.6,4.7,48.3,0.6,0.0,3.4,48.3,51.4,13.3,83.3,2.1,0.0,6.3,41.0,36.0,87.8,0.0,19.4,30.6,50.0,30.6,22.2,27.8,21,27,16.0,4.0,1.0,0.0,0.0,3.0,14.0,7.0,3.0,0.0,63.0,37.0,33.0,467.0,451.0,481.0
Barnstable High,Public School,1866,203.0,227.0,12.2,680.0,36.4,475.0,25.5,8.4,2.8,11.5,72.2,0.9,0.4,3.7,48.7,51.3,15.3,84.6,2.3,0.5,7.6,339.0,256.0,75.5,0.0,31.3,34.8,34.0,34.4,10.2,12.5,475,906,253.0,102.0,67.0,28.0,25.0,152.0,212.0,278.0,156.0,108.0,40.2,59.8,261.0,505.0,489.0,513.0
Bedford High,Public School,888,85.0,142.0,16.0,202.0,22.7,69.0,7.8,7.8,11.4,6.4,68.7,0.0,0.6,5.2,50.6,49.4,12.3,95.2,0.0,0.5,1.4,224.0,205.0,91.5,0.0,42.4,17.6,40.0,15.1,6.3,13.2,132,249,53.0,48.0,27.0,2.0,2.0,3.0,18.0,50.0,73.0,105.0,8.4,91.6,171.0,566.0,550.0,572.0
Belchertown High,Public School,710,17.0,85.0,12.0,157.0,22.1,96.0,13.5,2.0,2.0,4.1,90.3,0.1,0.1,1.4,50.3,49.7,14.0,91.6,0.0,3.4,2.2,169.0,152.0,89.9,0.0,42.8,23.7,33.6,23.0,9.9,11.8,60,80,43.0,15.0,1.0,1.0,0.0,5.0,7.0,19.0,25.0,24.0,15.0,85.0,114.0,544.0,531.0,544.0
Bellingham High School,Public School,739,22.0,143.0,19.4,234.0,31.7,115.0,15.6,1.8,3.1,5.3,88.4,0.3,0.0,1.2,54.5,45.5,18.3,94.3,0.6,1.3,0.6,174.0,122.0,70.1,0.0,29.5,18.0,52.5,13.1,29.5,15.6,101,190,46.0,31.0,15.0,8.0,1.0,38.0,57.0,47.0,28.0,20.0,50.0,50.0,106.0,515.0,480.0,518.0
Belmont High,Public School,1264,209.0,72.0,5.7,181.0,14.3,82.0,6.5,4.6,16.8,3.5,69.9,0.0,0.1,5.2,46.9,53.1,19.2,97.8,0.0,1.3,0.6,275.0,237.0,86.2,0.0,66.7,4.6,28.7,3.8,3.4,12.2,467,"1,033",162.0,142.0,90.0,53.0,20.0,16.0,62.0,186.0,331.0,438.0,7.6,92.4,286.0,587.0,584.0,610.0
Beverly High,Public School,1285,53.0,227.0,17.7,452.0,35.2,306.0,23.8,3.0,2.7,10.8,81.2,0.0,0.2,2.2,49.8,50.2,18.9,90.8,0.3,0.9,3.2,316.0,242.0,76.6,0.4,28.9,25.2,45.5,24.0,16.1,12.4,226,362,136.0,57.0,22.0,9.0,2.0,45.0,84.0,124.0,65.0,44.0,35.6,64.4,241.0,517.0,511.0,523.0
Billerica Memorial High School,Public School,1376,94.0,205.0,14.9,367.0,26.7,209.0,15.2,2.3,6.4,4.6,84.3,0.1,0.3,2.0,49.9,50.1,17.7,92.4,0.0,2.2,3.5,334.0,255.0,76.3,0.0,26.3,22.4,51.4,22.4,13.7,22.4,215,425,96.0,59.0,38.0,13.0,9.0,47.0,83.0,120.0,111.0,64.0,30.6,69.4,239.0,521.0,516.0,540.0
Another Course To College,Public School,223,107.0,49.0,22.0,163.0,73.1,137.0,61.4,43.0,5.8,39.9,7.2,0.4,0.4,3.1,49.3,50.7,16.8,96.2,0.0,0.0,1.9,43.0,35.0,81.4,0.0,42.9,25.7,31.4,25.7,11.4,17.1,31,36,26.0,5.0,0.0,0.0,0.0,24.0,10.0,2.0,0.0,0.0,94.4,5.6,47.0,377.0,395.0,407.0
Boston Arts Academy,Public School,447,160.0,60.0,13.4,247.0,55.3,195.0,43.6,40.5,4.5,39.4,12.5,0.0,0.0,3.1,36.2,63.8,14.6,89.8,0.0,1.0,3.1,81.0,63.0,77.8,1.6,46.0,19.0,33.3,19.0,12.7,9.5,15,18,12.0,3.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,100.0,0.0,99.0,437.0,427.0,435.0
Boston Community Leadership Academy,Public School,500,305.0,110.0,22.0,386.0,77.2,280.0,56.0,36.0,4.8,51.2,5.8,0.4,0.0,1.8,51.2,48.8,16.5,89.3,0.0,1.6,3.3,109.0,89.0,81.7,0.0,36.0,37.1,27.0,36.0,12.4,13.5,143,252,66.0,48.0,26.0,3.0,0.0,127.0,79.0,27.0,13.0,6.0,81.7,18.3,105.0,396.0,390.0,431.0
Boston International High School,Public School,378,378.0,16.0,4.2,376.0,99.5,228.0,60.3,47.4,3.4,45.5,1.9,0.0,0.8,1.1,51.9,48.1,15.3,55.6,2.8,0.0,18.1,53.0,40.0,75.5,0.0,42.5,17.5,40.0,17.5,17.5,22.5,22,32,12.0,10.0,0.0,0.0,0.0,12.0,6.0,4.0,6.0,4.0,56.3,43.8,68.0,313.0,305.0,347.0
Boston Latin,Public School,2403,785.0,50.0,2.1,499.0,20.8,377.0,15.7,8.0,29.0,12.1,46.9,0.1,0.0,3.8,45.1,54.9,25.8,98.1,0.0,0.0,0.2,356.0,335.0,94.1,0.0,59.7,1.5,38.8,1.5,2.7,28.1,"1,037","2,093",444.0,275.0,195.0,101.0,22.0,84.0,278.0,615.0,640.0,476.0,17.3,82.7,407.0,629.0,614.0,647.0
Boston Latin Academy,Public School,1698,706.0,50.0,2.9,622.0,36.6,538.0,31.7,22.7,21.9,22.6,29.3,0.4,0.2,2.9,41.9,58.1,17.9,96.9,0.0,0.4,0.8,264.0,243.0,92.0,0.0,43.2,7.4,49.4,7.4,9.1,37.9,449,706,260.0,135.0,43.0,8.0,3.0,119.0,232.0,211.0,97.0,47.0,49.7,50.3,259.0,526.0,527.0,557.0
Brighton High,Public School,811,481.0,193.0,23.8,699.0,86.2,495.0,61.0,44.3,3.1,45.7,5.4,0.4,0.1,1.0,60.3,39.7,17.8,62.0,0.0,3.5,19.4,198.0,131.0,66.2,0.8,17.6,48.9,32.8,47.3,9.2,22.1,88,132,53.0,27.0,7.0,1.0,0.0,93.0,34.0,4.0,1.0,0.0,96.2,3.8,127.0,357.0,352.0,392.0
Charlestown High,Public School,910,563.0,230.0,25.3,795.0,87.4,572.0,62.9,33.1,17.0,43.5,5.2,0.1,0.0,1.1,60.1,39.9,15.2,53.9,2.8,1.4,19.8,139.0,91.0,65.5,0.0,33.0,35.2,31.9,34.1,7.7,20.9,104,154,61.0,36.0,7.0,0.0,0.0,77.0,37.0,19.0,9.0,12.0,74.0,26.0,121.0,346.0,349.0,433.0
Community Academy of Science and Health,Public School,365,167.0,132.0,36.2,316.0,86.6,244.0,66.8,69.6,3.3,23.3,2.2,0.0,0.0,1.6,54.0,46.0,16.6,75.7,0.9,0.9,3.6,74.0,39.0,52.7,0.0,10.3,69.2,20.5,66.7,2.6,15.4,63,117,26.0,20.0,17.0,0.0,0.0,89.0,23.0,3.0,2.0,0.0,95.7,4.3,82.0,337.0,340.0,374.0
East Boston High,Public School,1496,1147.0,230.0,15.4,1200.0,80.2,688.0,46.0,6.9,1.3,77.7,12.8,0.6,0.0,0.8,56.7,43.3,17.7,67.7,0.3,1.2,12.7,254.0,143.0,56.3,0.0,26.6,46.2,27.3,44.1,11.2,15.4,213,307,145.0,47.0,16.0,5.0,0.0,187.0,77.0,28.0,12.0,3.0,86.0,14.0,170.0,384.0,389.0,415.0
Excel High School,Public School,525,283.0,144.0,27.4,443.0,84.4,339.0,64.6,37.7,21.9,28.8,9.7,0.4,0.4,1.1,61.9,38.1,17.0,66.3,0.0,1.8,18.7,126.0,90.0,71.4,0.0,16.7,55.6,27.8,53.3,4.4,23.3,58,80,38.0,18.0,2.0,0.0,0.0,48.0,17.0,12.0,1.0,2.0,81.3,18.8,88.0,345.0,359.0,405.0
Jeremiah E Burke High,Public School,489,243.0,59.0,12.1,404.0,82.6,299.0,61.1,72.8,0.6,22.5,3.3,0.0,0.0,0.8,51.9,48.1,18.2,74.0,0.0,1.2,15.4,136.0,62.0,45.6,0.0,22.6,58.1,19.4,54.8,6.5,11.3,76,105,47.0,29.0,0.0,0.0,0.0,80.0,20.0,5.0,0.0,0.0,95.2,4.8,86.0,355.0,347.0,380.0
New Mission High School,Public School,320,104.0,52.0,16.3,195.0,60.9,170.0,53.1,65.0,0.3,31.6,1.3,0.6,0.0,1.3,50.9,49.1,16.5,98.7,0.0,1.3,0.0,57.0,51.0,89.5,0.0,58.8,15.7,25.5,15.7,11.8,11.8,108,227,28.0,45.0,32.0,2.0,1.0,134.0,70.0,15.0,7.0,1.0,89.9,10.1,79.0,397.0,404.0,428.0
O'Bryant School Math/Science,Public School,1437,762.0,50.0,3.5,747.0,52.0,643.0,44.7,32.8,22.5,30.8,11.1,0.4,0.1,2.2,44.3,55.7,22.3,95.6,0.0,0.4,1.6,253.0,224.0,88.5,0.0,39.3,14.3,46.4,14.3,9.4,34.4,400,694,161.0,186.0,51.0,2.0,0.0,179.0,238.0,166.0,68.0,43.0,60.1,39.9,240.0,482.0,482.0,527.0
TechBoston Academy,Public School,972,441.0,215.0,22.1,794.0,81.7,647.0,66.6,65.9,3.8,24.2,2.9,0.4,0.2,2.6,55.5,44.5,17.3,84.3,0.0,0.7,5.2,118.0,84.0,71.2,0.0,28.6,46.4,25.0,45.2,9.5,15.5,61,100,24.0,35.0,2.0,0.0,0.0,34.0,32.0,22.0,4.0,8.0,66.0,34.0,114.0,365.0,370.0,402.0
The English High,Public School,553,300.0,109.0,19.7,457.0,82.6,361.0,65.3,41.6,1.6,53.9,2.0,0.4,0.0,0.5,55.7,44.3,15.1,58.7,0.7,1.4,28.3,93.0,53.0,57.0,1.9,15.1,56.6,26.4,52.8,11.3,13.2,36,56,23.0,7.0,5.0,1.0,0.0,39.0,11.0,4.0,2.0,0.0,89.3,10.7,66.0,333.0,333.0,362.0
Urban Science Academy,Public School,432,161.0,113.0,26.2,299.0,69.2,238.0,55.1,50.9,1.4,36.3,8.3,0.2,0.0,2.8,60.0,40.0,15.3,70.0,0.0,0.8,11.7,88.0,50.0,56.8,0.0,26.0,54.0,20.0,52.0,8.0,10.0,72,98,50.0,19.0,2.0,1.0,0.0,64.0,27.0,6.0,1.0,0.0,92.9,7.1,60.0,387.0,380.0,401.0
West Roxbury Academy,Public School,496,254.0,106.0,21.4,393.0,79.2,295.0,59.5,47.4,2.0,37.7,10.5,0.6,0.2,1.6,53.4,46.6,18.0,73.6,0.0,0.6,12.3,124.0,78.0,62.9,1.3,19.2,50.0,29.5,46.2,12.8,16.7,61,111,24.0,24.0,13.0,0.0,0.0,104.0,7.0,0.0,0.0,0.0,100.0,0.0,94.0,360.0,354.0,372.0
Bourne High School,Public School,436,5.0,73.0,16.7,142.0,32.6,108.0,24.8,1.6,2.1,4.4,87.6,0.0,0.2,4.1,50.5,49.5,16.4,91.9,0.7,0.0,2.7,113.0,77.0,68.1,0.0,26.0,48.1,26.0,48.1,15.6,5.2,96,196,32.0,35.0,24.0,3.0,2.0,26.0,51.0,60.0,45.0,14.0,39.3,60.7,104.0,499.0,490.0,508.0
Braintree High,Public School,1755,198.0,371.0,21.1,606.0,34.5,314.0,17.9,5.9,13.1,3.7,76.3,0.1,0.1,0.8,50.0,50.0,16.1,95.2,0.3,1.3,1.8,388.0,337.0,86.9,0.0,37.7,13.6,48.7,13.4,18.7,18.7,311,678,125.0,74.0,63.0,29.0,20.0,32.0,68.0,175.0,237.0,166.0,14.7,85.3,338.0,518.0,510.0,541.0
Brockton High,Public School,4264,1973.0,509.0,11.9,2646.0,62.1,1997.0,46.8,62.2,2.6,12.5,18.8,0.4,0.2,3.4,50.5,49.5,20.4,89.9,2.4,0.0,3.0,897.0,682.0,76.0,0.7,19.1,49.0,31.2,48.4,13.9,15.1,315,437,220.0,70.0,23.0,2.0,0.0,116.0,177.0,88.0,44.0,12.0,67.0,33.0,623.0,440.0,428.0,453.0
Brookline High,Public School,2009,572.0,326.0,16.2,563.0,28.0,235.0,11.7,7.6,16.7,10.4,57.2,0.0,0.0,8.0,50.2,49.8,14.3,93.4,0.0,0.9,1.8,451.0,365.0,80.9,0.0,65.5,7.4,27.1,6.3,2.5,14.8,405,811,175.0,105.0,90.0,24.0,11.0,5.0,39.0,133.0,263.0,371.0,5.4,94.6,377.0,599.0,590.0,617.0
Burlington High,Public School,1103,183.0,118.0,10.7,219.0,19.9,91.0,8.3,4.4,16.4,5.7,70.1,0.5,0.1,2.8,51.4,48.6,15.4,97.2,0.0,0.8,0.4,254.0,218.0,85.8,0.0,45.4,18.8,35.8,17.9,9.2,15.6,213,406,97.0,71.0,27.0,10.0,8.0,24.0,60.0,110.0,111.0,101.0,20.7,79.3,206.0,521.0,517.0,540.0
Cambridge Rindge and Latin,Public School,1956,504.0,325.0,16.6,792.0,40.5,535.0,27.4,30.3,11.9,13.5,38.9,0.6,0.2,4.7,51.8,48.2,15.5,92.5,0.4,0.0,2.4,433.0,349.0,80.6,0.0,53.9,18.1,28.1,17.5,3.7,18.3,352,594,181.0,113.0,46.0,11.0,1.0,36.0,64.0,127.0,156.0,211.0,16.8,83.2,358.0,521.0,514.0,526.0
Canton High,Public School,951,49.0,73.0,7.7,169.0,17.8,110.0,11.6,10.8,9.1,4.2,71.8,0.0,0.1,3.9,48.8,51.0,17.1,97.3,0.0,0.0,1.8,219.0,192.0,87.7,0.0,40.1,12.5,47.4,12.5,6.8,21.9,234,462,106.0,62.0,41.0,19.0,6.0,51.0,100.0,140.0,110.0,61.0,32.7,67.3,197.0,520.0,507.0,537.0
Carver Middle/High School,Public School,836,4.0,168.0,20.1,263.0,31.5,150.0,17.9,1.3,0.2,1.1,95.6,0.1,0.1,1.6,50.7,49.3,15.5,90.4,0.0,0.0,3.8,94.0,71.0,75.5,0.0,26.8,38.0,35.2,38.0,18.3,9.9,104,191,53.0,26.0,16.0,7.0,2.0,34.0,58.0,48.0,25.0,26.0,48.2,51.8,69.0,514.0,496.0,517.0
Chelmsford High,Public School,1484,124.0,187.0,12.6,303.0,20.4,128.0,8.6,2.6,11.9,3.8,79.9,0.0,0.1,1.8,48.9,51.1,16.8,95.5,0.9,0.0,2.4,401.0,359.0,89.5,0.0,31.8,19.8,48.5,19.5,13.6,21.4,288,555,132.0,86.0,45.0,15.0,10.0,28.0,104.0,168.0,163.0,92.0,23.8,76.2,359.0,545.0,519.0,556.0
Chelsea High,Public School,1545,1348.0,143.0,9.3,1111.0,71.9,721.0,46.7,6.6,2.3,85.0,5.6,0.0,0.1,0.5,52.0,48.0,23.0,62.5,3.5,2.4,21.5,238.0,169.0,71.0,0.6,22.5,49.1,27.8,47.9,5.9,20.7,212,396,94.0,65.0,40.0,13.0,0.0,165.0,108.0,73.0,34.0,16.0,68.9,31.1,131.0,448.0,424.0,449.0
Chicopee Comprehensive High School,Public School,1430,181.0,227.0,15.9,716.0,50.1,607.0,42.4,2.3,2.5,26.2,66.9,0.1,0.2,1.8,53.5,46.5,15.9,80.7,1.4,1.4,9.8,299.0,203.0,67.9,0.0,18.2,67.0,14.8,63.5,5.9,4.9,124,245,52.0,39.0,21.0,8.0,4.0,54.0,85.0,67.0,28.0,11.0,56.7,43.3,143.0,471.0,446.0,479.0
Chicopee High,Public School,947,159.0,190.0,20.1,534.0,56.4,449.0,47.4,4.6,2.0,37.4,54.5,0.0,0.1,1.4,49.1,50.9,13.7,80.9,1.5,0.7,11.2,228.0,176.0,77.2,0.0,29.0,54.5,16.5,52.8,5.7,5.7,152,292,74.0,34.0,28.0,14.0,2.0,55.0,98.0,76.0,45.0,18.0,52.4,47.6,120.0,478.0,464.0,470.0
Clinton Senior High,Public School,466,127.0,91.0,19.5,213.0,45.7,155.0,33.3,4.1,2.6,28.8,63.5,0.2,0.0,0.9,54.1,45.9,12.6,93.3,0.0,1.0,1.0,100.0,74.0,74.0,0.0,20.3,33.8,45.9,31.1,29.7,13.5,55,98,29.0,12.0,11.0,3.0,0.0,25.0,33.0,25.0,11.0,4.0,59.2,40.8,63.0,497.0,478.0,505.0
Cohasset Middle/High School,Public School,838,3.0,103.0,12.3,136.0,16.2,36.0,4.3,3.2,2.6,1.2,92.1,0.4,0.0,0.5,50.7,49.3,17.8,99.1,0.0,0.0,0.0,84.0,78.0,92.9,0.0,48.7,5.1,46.2,5.1,1.3,15.4,148,276,58.0,57.0,28.0,5.0,0.0,5.0,34.0,66.0,88.0,83.0,14.1,85.9,110.0,564.0,560.0,562.0
Danvers High,Public School,974,29.0,135.0,13.9,253.0,26.0,138.0,14.2,1.7,2.7,4.8,89.2,0.2,0.0,1.3,48.9,51.1,16.7,94.6,0.4,0.8,3.1,269.0,219.0,81.4,0.0,37.9,15.1,47.0,14.6,15.1,16.0,252,497,98.0,91.0,39.0,20.0,4.0,50.0,117.0,160.0,108.0,62.0,33.6,66.4,204.0,515.0,506.0,523.0
Dartmouth High,Public School,1064,50.0,106.0,10.0,254.0,23.9,168.0,15.8,1.1,0.4,2.4,90.6,0.0,0.2,5.3,50.5,49.5,16.8,92.1,0.4,1.1,2.3,253.0,204.0,80.6,0.5,26.5,25.5,47.5,25.5,10.8,20.1,234,363,140.0,67.0,20.0,6.0,1.0,14.0,39.0,113.0,123.0,74.0,14.6,85.4,207.0,516.0,508.0,530.0
Dedham High,Public School,739,96.0,113.0,15.2,238.0,32.1,133.0,18.0,11.6,3.8,13.9,69.3,0.0,0.0,1.4,49.9,50.1,15.8,96.2,0.5,0.0,1.6,169.0,134.0,79.3,0.0,35.1,21.6,43.3,21.6,12.7,20.9,191,349,92.0,56.0,32.0,6.0,5.0,58.0,87.0,90.0,77.0,37.0,41.5,58.5,160.0,490.0,477.0,520.0
Douglas High School,Public School,394,1.0,70.0,17.8,104.0,26.4,50.0,12.7,0.5,1.0,2.5,94.4,0.0,0.3,1.3,47.2,52.8,13.7,89.9,0.0,1.0,2.0,101.0,80.0,79.2,0.0,45.0,18.8,36.3,17.5,16.3,15.0,90,198,24.0,34.0,22.0,10.0,0.0,19.0,61.0,56.0,40.0,22.0,40.4,59.6,65.0,520.0,510.0,521.0
Dracut Senior High,Public School,801,45.0,80.0,10.0,179.0,22.3,111.0,13.9,5.7,5.5,6.1,80.3,0.0,0.2,2.1,47.7,52.3,18.5,94.3,0.4,0.8,3.7,229.0,194.0,84.7,0.0,24.2,36.1,39.7,35.6,13.4,18.6,148,246,79.0,46.0,17.0,6.0,0.0,17.0,42.0,92.0,57.0,38.0,24.0,76.0,176.0,503.0,487.0,508.0
Duxbury High,Public School,1057,8.0,124.0,11.7,169.0,16.0,58.0,5.5,0.3,1.2,1.3,95.9,0.0,0.0,1.2,51.2,48.8,19.8,98.5,0.0,0.4,1.1,262.0,235.0,89.7,0.0,61.7,3.0,35.3,2.6,6.8,11.1,316,709,99.0,101.0,74.0,27.0,15.0,92.0,109.0,199.0,184.0,125.0,28.3,71.7,242.0,545.0,544.0,565.0
East Bridgewater JR./SR. High School,Public School,1051,7.0,155.0,14.7,270.0,25.7,148.0,14.1,2.8,0.3,1.9,93.2,0.2,0.2,1.4,48.6,51.2,19.9,95.9,0.7,0.0,3.4,138.0,120.0,87.0,0.8,35.0,19.2,45.0,19.2,30.0,10.0,126,263,41.0,40.0,38.0,7.0,0.0,45.0,75.0,82.0,47.0,14.0,45.6,54.4,111.0,518.0,494.0,500.0
