School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
East Longmeadow High,Public School,870,46.0,130.0,14.9,233.0,26.8,119.0,13.7,3.6,6.0,4.6,84.9,0.2,0.1,0.6,48.7,51.3,17.0,97.2,0.0,0.0,0.0,201.0,181.0,90.0,0.0,35.9,30.4,33.7,27.1,14.4,10.5,192,280,121.0,55.0,15.0,1.0,0.0,9.0,39.0,90.0,71.0,71.0,17.1,82.9,169.0,526.0,509.0,540.0
Easthampton High,Public School,471,34.0,73.0,15.5,177.0,37.6,130.0,27.6,2.3,4.0,11.7,81.1,0.0,0.2,0.6,47.1,52.9,17.9,88.5,0.0,1.8,5.3,115.0,89.0,77.4,0.0,24.7,43.8,31.5,43.8,9.0,13.5,155,208,117.0,24.0,13.0,1.0,0.0,34.0,86.0,45.0,29.0,14.0,57.7,42.3,65.0,493.0,486.0,500.0
Oliver Ames High,Public School,1199,45.0,182.0,15.2,283.0,23.6,126.0,10.5,4.8,4.1,5.0,82.7,0.2,0.1,3.3,47.2,52.8,19.6,97.8,0.0,0.7,0.4,284.0,257.0,90.5,0.0,45.5,14.4,40.1,13.6,11.7,8.9,309,713,95.0,99.0,59.0,41.0,15.0,51.0,150.0,213.0,211.0,88.0,28.2,71.8,249.0,543.0,533.0,550.0
Everett High,Public School,2023,1183.0,237.0,11.7,1190.0,58.8,806.0,39.8,19.9,4.4,43.9,30.2,0.3,0.1,1.1,52.0,48.0,17.1,78.2,4.7,0.6,9.6,465.0,311.0,66.9,0.0,31.2,34.7,34.1,34.4,15.1,17.4,188,309,108.0,48.0,24.0,7.0,1.0,107.0,104.0,54.0,26.0,18.0,68.3,31.7,262.0,438.0,416.0,439.0
Fairhaven High,Public School,616,14.0,74.0,12.0,188.0,30.5,133.0,21.6,0.8,1.6,5.8,89.1,0.2,0.0,2.4,47.9,52.1,15.1,92.2,1.1,0.6,2.8,165.0,129.0,78.2,0.8,20.9,24.0,54.3,23.3,24.8,20.2,105,171,52.0,40.0,13.0,0.0,0.0,8.0,52.0,68.0,29.0,14.0,35.1,64.9,124.0,512.0,498.0,517.0
B M C Durfee High,Public School,2123,593.0,391.0,18.4,1357.0,63.9,1172.0,55.2,8.3,5.5,23.4,58.2,0.2,0.2,4.3,50.8,49.2,16.5,79.2,5.4,1.1,12.7,420.0,278.0,66.2,0.4,14.7,61.5,23.4,60.4,7.9,11.9,307,538,158.0,78.0,60.0,11.0,0.0,114.0,145.0,152.0,95.0,32.0,48.1,51.9,219.0,495.0,471.0,477.0
Falmouth High,Public School,882,70.0,120.0,13.6,288.0,32.7,214.0,24.3,4.9,3.5,4.0,82.1,0.7,0.1,4.8,51.0,49.0,14.4,87.7,0.0,3.9,5.4,196.0,151.0,77.0,0.0,39.1,28.5,32.5,27.2,12.6,6.6,117,238,50.0,32.0,21.0,10.0,4.0,22.0,33.0,66.0,60.0,57.0,23.1,76.9,149.0,518.0,516.0,540.0
Fitchburg High,Public School,1211,423.0,263.0,21.7,771.0,63.7,654.0,54.0,7.3,6.1,48.3,32.0,0.0,0.1,6.1,52.1,47.9,20.3,86.1,4.1,0.7,6.4,219.0,148.0,67.6,0.0,14.9,50.7,34.5,48.0,21.6,9.5,239,507,106.0,48.0,51.0,21.0,13.0,244.0,135.0,70.0,49.0,9.0,74.8,25.2,243.0,395.0,373.0,414.0
Foxborough High,Public School,837,10.0,150.0,17.9,224.0,26.8,114.0,13.6,5.3,2.7,3.0,87.9,0.1,0.1,0.8,53.2,46.8,13.6,96.4,0.0,0.0,0.4,215.0,176.0,81.9,0.0,34.1,10.2,55.7,9.7,16.5,22.7,217,455,84.0,57.0,55.0,13.0,8.0,28.0,104.0,131.0,119.0,73.0,29.0,71.0,194.0,520.0,514.0,534.0
Acton-Boxborough Regional High,Public School,1864,269.0,217.0,11.6,304.0,16.3,91.0,4.9,1.5,28.2,3.4,63.0,0.2,0.0,3.7,50.6,49.4,19.9,98.3,0.0,0.0,0.8,472.0,420.0,89.0,0.2,52.1,6.4,41.2,6.0,3.1,13.8,445,"1,025",156.0,117.0,88.0,58.0,26.0,7.0,49.0,100.0,303.0,566.0,5.5,94.5,421.0,617.0,608.0,641.0
Hoosac Valley Middle & High School,Public School,622,5.0,139.0,22.3,300.0,48.2,244.0,39.2,5.1,1.3,1.4,91.8,0.2,0.0,0.2,50.0,50.0,14.1,83.3,2.8,4.2,8.3,79.0,65.0,82.3,0.0,26.2,43.1,30.8,41.5,20.0,4.6,81,133,46.0,18.0,17.0,0.0,0.0,26.0,41.0,39.0,20.0,7.0,50.4,49.6,44.0,494.0,478.0,489.0
Advanced Math and Science Academy Charter School,Charter School,952,170.0,46.0,4.8,111.0,11.7,58.0,6.1,2.4,19.2,5.8,66.9,0.3,0.0,5.4,51.7,48.3,19.3,100.0,0.0,0.0,0.0,128.0,115.0,89.8,0.0,53.9,7.0,39.1,7.0,7.8,13.0,290,581,124.0,81.0,56.0,20.0,9.0,20.0,69.0,130.0,166.0,196.0,15.3,84.7,176.0,606.0,604.0,658.0
Amherst Regional High,Public School,926,163.0,165.0,17.8,318.0,34.3,203.0,21.9,7.0,9.5,14.3,59.9,0.1,0.0,9.2,52.1,47.9,12.9,91.6,0.0,0.9,3.1,246.0,206.0,83.7,0.5,46.6,27.7,25.2,26.7,2.4,14.6,131,208,70.0,47.0,12.0,2.0,0.0,10.0,16.0,47.0,75.0,60.0,12.5,87.5,174.0,594.0,564.0,601.0
Oakmont Regional High School,Public School,702,8.0,111.0,15.8,181.0,25.8,99.0,14.1,0.6,1.0,2.3,94.4,0.0,0.0,1.7,49.9,50.1,16.0,94.1,0.0,0.0,0.0,164.0,144.0,87.8,0.0,26.4,18.1,55.6,18.1,32.6,13.9,100,142,65.0,28.0,7.0,0.0,0.0,7.0,32.0,58.0,28.0,17.0,27.5,72.5,127.0,511.0,488.0,514.0
Assabet Valley Vocational High School,Public School,1103,170.0,322.0,29.2,520.0,47.1,248.0,22.5,0.9,0.7,14.6,81.1,0.5,0.0,2.3,57.6,42.4,16.2,95.9,0.0,0.8,1.6,237.0,122.0,51.5,0.8,31.1,40.2,27.9,36.9,19.7,1.6,48,54,45.0,1.0,1.0,1.0,0.0,15.0,22.0,11.0,5.0,1.0,68.5,31.5,124.0,439.0,413.0,438.0
Athol High,Public School,358,4.0,96.0,26.8,201.0,56.1,162.0,45.3,2.8,0.8,5.6,89.7,0.0,0.0,1.1,54.2,45.8,13.7,75.0,0.0,0.0,13.9,71.0,42.0,59.2,0.0,28.6,35.7,35.7,31.0,21.4,7.1,78,132,39.0,24.0,15.0,0.0,0.0,81.0,35.0,12.0,4.0,0.0,87.9,12.1,49.0,466.0,456.0,473.0
Ayer Shirley Regional High School,Public School,409,35.0,81.0,19.8,156.0,38.1,103.0,25.2,7.8,2.4,10.5,72.9,0.2,0.2,5.9,50.4,49.6,15.4,93.3,0.0,0.0,5.6,58.0,39.0,67.2,0.0,12.8,48.7,38.5,48.7,17.9,17.9,32,60,13.0,12.0,5.0,2.0,0.0,10.0,13.0,18.0,9.0,10.0,38.3,61.7,65.0,504.0,481.0,511.0
Berkshire Arts and Technology Charter Public School,Charter School,356,9.0,75.0,21.1,188.0,52.8,149.0,41.9,14.6,2.5,6.7,71.9,0.0,0.3,3.9,48.0,51.7,15.8,91.3,0.0,0.0,0.0,19.0,14.0,73.7,0.0,7.1,64.3,28.6,64.3,14.3,0.0,26,36,19.0,4.0,3.0,0.0,0.0,11.0,12.0,9.0,2.0,2.0,63.9,36.1,25.0,514.0,490.0,502.0
Monument Mt Regional High,Public School,547,30.0,77.0,14.1,168.0,30.7,121.0,22.1,2.2,1.8,4.8,88.5,0.2,0.2,2.4,51.4,48.6,12.1,90.3,0.0,1.4,2.1,127.0,104.0,81.9,0.0,49.0,22.1,28.8,20.2,10.6,7.7,66,116,30.0,25.0,9.0,1.0,1.0,4.0,16.0,39.0,31.0,26.0,17.2,82.8,96.0,547.0,519.0,522.0
Tahanto Regional High,Public School,584,32.0,93.0,15.9,142.0,24.3,55.0,9.4,1.0,3.1,2.6,91.3,0.0,0.0,2.1,52.2,47.8,16.2,94.3,0.0,0.0,2.9,58.0,48.0,82.8,0.0,31.3,6.3,62.5,6.3,25.0,8.3,69,120,32.0,23.0,14.0,0.0,0.0,5.0,22.0,45.0,28.0,20.0,22.5,77.5,61.0,526.0,510.0,528.0
Blackstone Valley,Public School,1206,9.0,118.0,9.8,231.0,19.2,121.0,10.0,0.6,0.8,2.9,94.1,0.0,0.0,1.6,48.2,51.8,17.4,99.3,0.0,0.0,0.7,280.0,222.0,79.3,0.0,37.8,16.7,45.5,15.3,25.2,12.2,260,404,145.0,91.0,19.0,5.0,0.0,124.0,129.0,98.0,43.0,10.0,62.6,37.4,225.0,485.0,465.0,502.0
Blackstone Millville RHS,Public School,448,17.0,65.0,14.5,133.0,29.7,80.0,17.9,0.9,1.8,3.6,92.6,0.0,0.0,1.1,48.7,51.3,15.4,94.2,0.0,0.8,0.8,90.0,56.0,62.2,0.0,21.4,21.4,57.1,5.4,21.4,25.0,89,152,47.0,26.0,12.0,3.0,1.0,20.0,46.0,44.0,30.0,12.0,43.4,56.6,81.0,519.0,488.0,514.0
Blue Hills Regional Vocational Technical,Public School,867,61.0,220.0,25.4,364.0,42.0,197.0,22.7,22.7,0.7,11.9,59.3,0.8,0.1,4.5,55.5,44.5,15.8,97.4,0.0,0.0,0.0,184.0,117.0,63.6,0.0,40.2,36.8,23.1,36.8,12.8,5.1,15,20,10.0,5.0,0.0,0.0,0.0,2.0,8.0,6.0,1.0,3.0,50.0,50.0,103.0,445.0,406.0,446.0
Boston Collegiate Charter School,Charter School,680,76.0,122.0,17.9,303.0,44.6,200.0,29.4,27.5,2.2,19.7,47.5,0.7,0.0,2.4,48.1,51.9,20.6,91.5,0.0,0.0,0.0,56.0,46.0,82.1,0.0,28.3,17.4,54.3,17.4,30.4,21.7,93,174,39.0,35.0,11.0,8.0,0.0,25.0,56.0,50.0,33.0,10.0,46.6,53.4,63.0,491.0,508.0,536.0
Boston Green Academy Horace Mann Charter School,Charter School,476,157.0,96.0,20.2,357.0,75.0,291.0,61.1,54.8,0.8,32.6,7.4,0.0,0.0,4.4,51.5,48.5,14.4,76.6,0.0,3.1,7.8,63.0,47.0,74.6,0.0,44.7,31.9,23.4,31.9,12.8,10.6,41,52,30.0,11.0,0.0,0.0,0.0,34.0,15.0,3.0,0.0,0.0,94.2,5.8,38.0,367.0,336.0,357.0
Boston Preparatory Charter Public School,Charter School,415,83.0,92.0,22.2,256.0,61.7,162.0,39.0,69.2,1.0,24.8,2.4,0.5,0.2,1.9,51.8,48.2,34.0,75.0,0.0,0.0,11.5,42.0,40.0,95.2,0.0,40.0,15.0,45.0,15.0,27.5,15.0,111,170,64.0,37.0,8.0,2.0,0.0,70.0,65.0,25.0,5.0,5.0,79.4,20.6,45.0,426.0,424.0,489.0
Bridgewater-Raynham Regional,Public School,1512,37.0,149.0,9.9,310.0,20.5,181.0,12.0,3.9,2.3,2.7,87.4,0.2,0.1,3.4,50.0,50.0,16.9,92.6,1.1,0.0,3.0,368.0,280.0,76.1,0.0,29.6,19.6,50.7,19.6,26.1,15.7,269,430,143.0,94.0,29.0,3.0,0.0,34.0,104.0,157.0,92.0,43.0,32.1,67.9,279.0,510.0,504.0,531.0
Bristol-Plymouth Vocational Technical,Public School,1303,42.0,245.0,18.8,500.0,38.4,341.0,26.2,2.9,0.7,6.4,86.4,0.5,0.0,3.1,57.7,42.1,17.4,97.1,0.0,0.3,1.9,297.0,170.0,57.2,0.6,24.7,39.4,35.3,38.2,22.4,9.4,113,139,87.0,26.0,0.0,0.0,0.0,42.0,53.0,29.0,13.0,2.0,68.3,31.7,161.0,461.0,435.0,469.0
Cape Cod Region Vocational Technical,Public School,623,27.0,170.0,27.3,342.0,54.9,223.0,35.8,5.1,1.0,10.4,76.2,2.1,0.2,5.0,62.4,37.6,13.3,92.9,0.0,0.6,2.6,123.0,50.0,40.7,0.0,20.0,54.0,26.0,52.0,14.0,4.0,26,31,21.0,5.0,0.0,0.0,0.0,5.0,17.0,7.0,2.0,0.0,71.0,29.0,65.0,471.0,428.0,448.0
Wahconah Regional High,Public School,543,8.0,58.0,10.7,151.0,27.8,115.0,21.2,1.1,0.7,4.1,92.3,0.0,0.0,1.8,49.4,50.6,15.1,91.6,0.0,1.5,5.3,147.0,126.0,85.7,0.0,17.5,42.1,40.5,42.1,19.8,13.5,119,187,81.0,20.0,10.0,5.0,3.0,47.0,63.0,43.0,18.0,16.0,58.8,41.2,96.0,499.0,489.0,509.0
City on a Hill Charter Public School Circuit Street,Charter School,279,85.0,63.0,22.6,196.0,70.3,157.0,56.3,65.2,0.0,29.7,2.9,0.4,0.4,1.4,45.2,54.8,12.1,69.5,0.0,0.0,5.1,45.0,41.0,91.1,0.0,58.5,14.6,26.8,14.6,7.3,19.5,32,48,16.0,16.0,0.0,0.0,0.0,34.0,8.0,4.0,1.0,1.0,87.5,12.5,49.0,395.0,400.0,460.0
Community Charter School of Cambridge,Charter School,374,93.0,71.0,19.0,186.0,49.7,130.0,34.8,62.0,3.5,24.3,5.1,1.6,0.3,3.2,47.3,52.7,16.7,92.5,0.0,0.0,1.9,52.0,46.0,88.5,0.0,39.1,21.7,39.1,21.7,8.7,28.3,65,105,30.0,30.0,5.0,0.0,0.0,54.0,23.0,18.0,6.0,4.0,73.3,26.7,55.0,427.0,442.0,475.0
Concord Carlisle High,Public School,1276,64.0,211.0,16.5,269.0,21.1,69.0,5.4,4.3,9.5,4.0,78.5,0.0,0.0,3.7,47.8,52.1,15.3,98.3,0.0,0.0,0.0,292.0,262.0,89.7,0.4,65.3,5.7,28.6,4.2,1.9,9.9,274,498,137.0,75.0,43.0,14.0,5.0,8.0,20.0,68.0,137.0,265.0,5.6,94.4,263.0,616.0,605.0,635.0
Dennis-Yarmouth Regional High,Public School,1003,143.0,175.0,17.4,469.0,46.8,344.0,34.3,10.0,2.9,10.3,70.2,1.6,0.1,5.0,50.7,49.3,14.7,87.9,1.1,0.5,5.3,157.0,112.0,71.3,0.0,32.1,33.9,33.9,33.0,15.2,5.4,105,212,41.0,29.0,28.0,6.0,1.0,30.0,61.0,65.0,42.0,14.0,42.9,57.1,137.0,494.0,479.0,478.0
Dighton-Rehoboth Regional High School,Public School,928,11.0,121.0,13.0,213.0,23.0,130.0,14.0,1.0,1.1,4.3,91.6,0.0,0.0,2.0,55.6,44.4,16.9,92.9,0.9,0.5,1.4,209.0,165.0,78.9,0.0,26.7,24.2,49.1,21.2,18.2,23.0,177,430,54.0,47.0,41.0,17.0,18.0,28.0,88.0,142.0,98.0,74.0,27.0,73.0,147.0,547.0,532.0,547.0
Dover-Sherborn Regional High,Public School,652,14.0,76.0,11.7,95.0,14.6,22.0,3.4,2.3,6.1,2.6,85.7,0.0,0.0,3.2,48.6,51.4,12.9,99.4,0.0,0.0,0.0,149.0,135.0,90.6,0.0,77.8,2.2,20.0,1.5,1.5,3.7,202,483,54.0,64.0,45.0,30.0,9.0,2.0,25.0,93.0,161.0,202.0,5.6,94.4,167.0,613.0,608.0,620.0
Shepherd Hill Regional High,Public School,1166,64.0,121.0,10.4,280.0,24.0,200.0,17.2,1.7,2.2,6.7,87.0,0.3,0.2,1.8,48.2,51.8,19.2,92.3,1.5,0.4,3.3,243.0,187.0,77.0,0.5,33.7,19.8,46.0,18.7,19.8,16.6,267,424,155.0,73.0,33.0,6.0,0.0,52.0,124.0,148.0,75.0,25.0,41.5,58.5,203.0,506.0,494.0,525.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Charter School,359,182.0,59.0,16.4,244.0,68.0,194.0,54.0,44.6,1.9,46.8,4.5,0.0,0.0,2.2,34.3,65.7,17.1,86.7,0.0,1.3,5.3,88.0,72.0,81.8,0.0,19.4,36.1,44.4,36.1,16.7,26.4,95,144,56.0,30.0,8.0,1.0,0.0,66.0,50.0,15.0,11.0,2.0,80.6,19.4,69.0,386.0,395.0,397.0
Essex Technical High School,Public School,1307,89.0,277.0,21.2,500.0,38.3,274.0,21.0,1.3,1.5,12.3,81.6,0.1,0.1,3.1,43.0,57.0,16.1,97.5,0.0,0.4,0.4,230.0,151.0,65.7,0.0,27.8,33.1,39.1,30.5,17.2,10.6,40,48,32.0,8.0,0.0,0.0,0.0,7.0,14.0,14.0,10.0,3.0,43.8,56.3,147.0,488.0,461.0,471.0
Foxborough Regional Charter School,Charter School,1261,256.0,113.0,9.0,413.0,32.8,215.0,17.0,36.6,10.0,4.4,42.9,0.1,0.1,5.9,47.4,52.6,22.2,100.0,0.0,0.0,0.0,64.0,56.0,87.5,0.0,35.7,12.5,51.8,12.5,17.9,23.2,91,145,52.0,28.0,8.0,2.0,1.0,15.0,36.0,44.0,35.0,15.0,35.2,64.8,61.0,508.0,494.0,498.0
Framingham High School,Public School,2102,842.0,313.0,14.9,839.0,39.9,478.0,22.7,6.9,6.1,22.0,62.0,0.1,0.0,2.7,51.4,48.6,17.0,88.3,1.8,0.2,4.2,457.0,336.0,73.5,0.0,33.3,22.0,44.6,21.7,15.5,15.8,401,845,159.0,115.0,76.0,32.0,19.0,17.0,57.0,193.0,278.0,300.0,8.8,91.2,358.0,529.0,514.0,562.0
Franklin High,Public School,1739,73.0,221.0,12.7,302.0,17.4,102.0,5.9,1.7,4.5,2.1,89.4,0.2,0.2,2.0,49.2,50.8,16.9,96.2,0.0,0.0,0.7,388.0,349.0,89.9,0.0,46.7,5.7,47.6,4.9,10.6,17.5,421,783,207.0,118.0,58.0,27.0,11.0,71.0,134.0,211.0,214.0,153.0,26.2,73.8,382.0,542.0,532.0,556.0
Apponequet Regional High,Public School,725,7.0,106.0,14.6,154.0,21.2,78.0,10.8,1.4,1.5,1.8,93.7,0.3,0.1,1.2,49.5,50.5,15.0,93.5,1.0,0.0,2.5,200.0,173.0,86.5,0.6,26.0,28.3,45.1,26.6,16.8,21.4,170,279,92.0,60.0,11.0,3.0,4.0,8.0,63.0,100.0,77.0,31.0,25.4,74.6,151.0,523.0,505.0,518.0
Frontier Regional,Public School,611,20.0,117.0,19.1,190.0,31.1,107.0,17.5,1.3,3.1,4.4,88.4,0.0,0.3,2.5,54.0,46.0,13.3,91.3,0.0,2.9,1.0,92.0,79.0,85.9,0.0,27.8,39.2,32.9,38.0,7.6,15.2,80,123,47.0,25.0,6.0,2.0,0.0,3.0,21.0,44.0,29.0,26.0,19.5,80.5,77.0,540.0,512.0,522.0
Gardner High,Public School,711,56.0,129.0,18.1,358.0,50.4,295.0,41.5,2.7,2.1,12.5,78.5,0.4,0.0,3.8,53.6,46.4,15.9,95.0,0.8,0.8,0.8,117.0,96.0,82.1,0.0,17.7,40.6,41.7,38.5,26.0,14.6,126,218,72.0,24.0,24.0,4.0,2.0,55.0,76.0,57.0,18.0,12.0,60.1,39.9,115.0,451.0,424.0,463.0
Gateway Regional High,Public School,220,7.0,36.0,16.4,83.0,37.7,63.0,28.6,0.5,0.9,2.7,94.1,0.0,0.0,1.8,44.1,55.9,11.6,89.9,1.4,2.9,5.8,78.0,60.0,76.9,0.0,16.7,31.7,51.7,31.7,26.7,15.0,32,54,16.0,11.0,4.0,1.0,0.0,19.0,9.0,14.0,11.0,1.0,51.9,48.1,27.0,553.0,536.0,521.0
Georgetown High School,Public School,411,1.0,56.0,13.6,84.0,20.4,42.0,10.2,0.7,1.0,2.7,93.2,0.0,0.0,2.4,47.7,52.3,12.8,97.1,0.0,1.0,1.0,93.0,86.0,92.5,0.0,30.2,20.9,48.8,19.8,15.1,11.6,42,65,23.0,15.0,4.0,0.0,0.0,0.0,0.0,10.0,23.0,32.0,0.0,100.0,83.0,549.0,540.0,534.0
Turners Fall High,Public School,231,19.0,37.0,16.0,103.0,44.6,80.0,34.6,1.7,0.4,7.4,86.1,0.0,0.0,4.3,49.8,50.2,12.0,73.8,0.0,1.5,21.5,63.0,45.0,71.4,0.0,26.7,53.3,20.0,53.3,13.3,4.4,25,27,23.0,2.0,0.0,0.0,0.0,4.0,10.0,9.0,3.0,1.0,51.9,48.1,26.0,494.0,471.0,506.0
Global Learning Charter Public School,Charter School,507,84.0,68.0,13.4,301.0,59.4,252.0,49.7,10.7,1.0,29.8,52.3,1.0,0.0,5.3,51.7,48.3,16.4,87.0,0.0,0.0,13.0,33.0,29.0,87.9,0.0,20.7,48.3,31.0,48.3,6.9,20.7,36,50,24.0,10.0,2.0,0.0,0.0,11.0,26.0,10.0,1.0,2.0,74.0,26.0,18.0,449.0,436.0,468.0
Gloucester High,Public School,818,79.0,209.0,25.6,392.0,47.9,267.0,32.6,2.2,1.7,7.5,85.7,0.2,0.7,2.0,51.1,48.9,14.9,88.0,0.0,1.7,7.7,215.0,150.0,69.8,0.0,37.3,24.7,38.0,24.7,20.0,10.7,104,172,53.0,36.0,13.0,2.0,0.0,23.0,35.0,64.0,37.0,13.0,33.7,66.3,134.0,496.0,475.0,509.0
Grafton High School,Public School,835,28.0,114.0,13.7,181.0,21.7,90.0,10.8,1.2,8.9,3.5,84.1,0.0,0.1,2.3,48.4,51.6,18.0,91.3,0.5,1.4,3.7,159.0,129.0,81.1,0.0,40.3,19.4,40.3,17.1,10.1,11.6,137,220,77.0,43.0,12.0,4.0,1.0,17.0,52.0,78.0,45.0,28.0,31.4,68.6,167.0,533.0,523.0,553.0
Granby Jr Sr High School,Public School,381,20.0,56.0,14.7,117.0,30.7,78.0,20.5,1.0,3.1,6.0,88.5,0.0,0.0,1.3,54.3,45.7,14.8,93.2,1.4,1.4,2.7,73.0,58.0,79.5,0.0,19.0,51.7,29.3,48.3,15.5,12.1,73,108,46.0,21.0,4.0,2.0,0.0,11.0,54.0,35.0,6.0,2.0,60.2,39.8,36.0,506.0,495.0,516.0
Diman Regional Vocational Technical High,Public School,1395,76.0,137.0,9.8,590.0,42.3,503.0,36.1,1.6,1.4,8.4,83.4,0.4,0.1,4.7,55.8,44.2,13.5,97.0,0.6,0.0,1.8,337.0,187.0,55.5,2.1,13.9,63.6,20.3,62.0,4.8,15.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.0,0.0,45.0,55.0,129.0,449.0,424.0,454.0
Gr Lawrence Regional Vocational Technical,Public School,1473,601.0,300.0,20.4,985.0,66.9,768.0,52.1,0.8,1.0,80.6,17.4,0.1,0.0,0.1,49.2,50.8,12.7,95.9,0.3,0.0,2.8,304.0,171.0,56.3,0.0,13.5,76.6,9.9,76.0,4.1,4.7,16,16,16.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,87.5,12.5,168.0,379.0,373.0,406.0
Gr New Bedford Vocational Technical,Public School,2154,499.0,243.0,11.3,974.0,45.2,795.0,36.9,8.7,0.7,19.9,66.7,0.4,0.0,3.6,49.6,50.4,14.5,93.2,0.0,0.0,5.1,456.0,267.0,58.6,2.2,14.6,61.0,22.1,60.7,9.0,10.9,57,57,57.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,7.0,3.0,24.6,75.4,296.0,451.0,420.0,447.0
Greenfield High,Public School,448,54.0,80.0,17.9,227.0,50.7,199.0,44.4,3.1,3.1,14.7,74.1,0.0,0.0,4.9,54.0,46.0,13.4,79.4,4.1,1.0,9.3,85.0,63.0,74.1,0.0,14.3,68.3,17.5,68.3,3.2,11.1,85,171,34.0,23.0,21.0,7.0,0.0,31.0,64.0,33.0,27.0,16.0,55.6,44.4,37.0,496.0,481.0,499.0
Groton Dunstable Regional,Public School,812,8.0,98.0,12.1,116.0,14.3,25.0,3.1,0.7,5.9,0.9,91.7,0.1,0.1,0.5,50.2,49.8,17.7,98.2,0.0,0.0,1.4,224.0,201.0,89.7,0.0,44.3,14.4,41.3,12.4,7.0,17.9,209,397,76.0,87.0,38.0,7.0,1.0,12.0,53.0,102.0,119.0,111.0,16.4,83.6,195.0,558.0,538.0,584.0
Hopkins Academy,Public School,258,19.0,20.0,7.8,47.0,18.2,29.0,11.2,3.9,2.3,8.1,80.6,0.4,1.2,3.5,50.0,50.0,13.1,96.2,0.0,0.0,0.0,41.0,35.0,85.4,0.0,57.1,17.1,25.7,14.3,5.7,17.1,68,95,47.0,18.0,2.0,0.0,1.0,11.0,24.0,30.0,19.0,11.0,36.8,63.2,42.0,545.0,524.0,556.0
